"id","label","date","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","f65","f66","f67","f68","f69","f70","f71","f72","f73","f74","f75","f76","f77","f78","f79","f80","f81","f82","f83","f84","f85","f86","f87","f88","f89","f90","f91","f92","f93","f94","f95","f96","f97","f98","f99","f100","f101","f102","f103","f104","f105","f106","f107","f108","f109","f110","f111","f112","f113","f114","f115","f116","f117","f118","f119","f120","f121","f122","f123","f124","f125","f126","f127","f128","f129","f130","f131","f132","f133","f134","f135","f136","f137","f138","f139","f140","f141","f142","f143","f144","f145","f146","f147","f148","f149","f150","f151","f152","f153","f154","f155","f156","f157","f158","f159","f160","f161","f162","f163","f164","f165","f166","f167","f168","f169","f170","f171","f172","f173","f174","f175","f176","f177","f178","f179","f180","f181","f182","f183","f184","f185","f186","f187","f188","f189","f190","f191","f192","f193","f194","f195","f196","f197","f198","f199","f200","f201","f202","f203","f204","f205","f206","f207","f208","f209","f210","f211","f212","f213","f214","f215","f216","f217","f218","f219","f220","f221","f222","f223","f224","f225","f226","f227","f228","f229","f230","f231","f232","f233","f234","f235","f236","f237","f238","f239","f240","f241","f242","f243","f244","f245","f246","f247","f248","f249","f250","f251","f252","f253","f254","f255","f256","f257","f258","f259","f260","f261","f262","f263","f264","f265","f266","f267","f268","f269","f270","f271","f272","f273","f274","f275","f276","f277","f278","f279","f280","f281","f282","f283","f284","f285","f286","f287","f288","f289","f290","f291","f292","f293","f294","f295","f296","f297"
"741b5ae5f9f722faca496194ace8bc7920edb8fa1d4477b3fd130be6fe929397","0","20171104","0","0","1","1","100807","0","1","1","1","2","1","2","2","2","1","0","2","2","0","32","62","171","284","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","1","0","0","1","1","1","95","94","95","95","95","1","2","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","2","2","1","1","2","2","2","1","2","2","1","3","3","2","1","1","1","1","3","3","3","2","2","1","1","2","1","2","2","2","2","1","2","1","1","2","2","2","1","96","97","101","110","114","199","215","2","1","1","2","95","95","95","94","2","1","2","2","2","1","1","1","2","2","1","1","2","2","2","2","2","1","1","2","1","1","1","2","1","95","94","94","94","94","1","2","1","1","1","1","1","2","1","1","1","1","1","2","1","1","2","2","2","2","2","1","2","2","2","1","1","1","0","54","257","302","354","806","32","113","120","128","134","302","305","321","246","301","132","133","133","100","131"
"2739260b670d0656e3dd9c2709dd91da76677727d19470d4fd6b4e4588c94b29","0","20171030","1","0","0","0","100803","0","7","2","1","1","0","1","0","1","0","2","2","2","0","0","0","1","1","1","0","0","1","0","1","0","0","0","0","1","0","","","","","","","","","","","","","0","1","1","1","1","1","1","1","1","1","2","1","2","1","1","2","1","2","2","1","2","1","2","1","1","1","1","1","1","2","2","2","10","19","175","452.1","654","175","450","1","2","1","1","1","2","1","1","1","4","3","4","9","16","31","1","5","10","18","45","2","1","1","2","1","1","2","2","1","1","1","2","2","1","2","2","1","2","1","2","1","2","1","2","2","1","1","2","1","2","1","2","1","1","2","1","1","2","1","2","2","2","2","2","2","2","1","1","1","1","2","1","2","1","2","2","2","1","2","2","2","2","1","1","2","2","1","2","1","2","2","2","1","1","1","1","1","2","2","2","1","2","1","1","2","1","1","1","1","2","1","2","1","1","1","1","1","2","2","1","2","1","1","7","2","2","2","2","2","2","1","2","2","1","2","2","1","2","1","1","1","1","2","2","1","1","2","1","1","1","1","2","1","1","2","1","1","2","2","1","2","2","2","1","1","1","1","2","1","1","2","2","2","1","1","1","1","1","1","1","2","1","1","2","1","1","1","0","0","1","2","1","2","2","1","1","1","2","1","2","1","2","2","1","2","1","1","2","2","1","1"
"fa592b16296ad2b2af574bca9d07a48cb2e5fc4e213a34b3f4af1ddde4845ebd","0","20170916","0","1","1","1","100804","0","1","2","0","2","1","2","0","1","1","0","1","2","1","1","0","0","0","1","0","1","1","0","0","1","1","5","4","7","8","","","","","","","","","","","","","5","5","7","8","1","1","2","1","1","2","1","1","1","2","1","1","2","2","17","1","1","2","6","12","36","63","36","62","1","2","2","4","42","72","3","28523.2","73689","10003","15577.6","1","1","1","3","2","2","1","2","1","3","2","4","9","13","13","4","15","37","64","64","3","14","37","63","2","2","2","2","1","1","1","1","2","1","2","2","2","2","1","1","1","1","1","2","1","1","1","1","2","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","1","1","17","1","2","1","2","1","1","1","2","1","1","2","2","1","1","1","2","2","1","2","2","2","3","3","3","2","1","1","2","2","3","2","2","1","1","1","2","2","2","2","1","1","2","2","1","2","2","2","1","2","2","1","4","15","37","63","63","2","1","2","2","1","1","1","5","1","2","1","1","1","2","1","2","2","2","2","2","2","1","2","1","2","1","1","1","2","1","2","1","1","2","2","2","9","9","1","1","2","2","2","1","1","1","1","2","1","1","1","1","3","2","1","2","2","2","2","1","2","1","2","1","1","1","1","1","2","2","1","2","1","1","2","2","2","1","12","14","2","1","2","1","2","2","2"
"6970c7e69aaec5efba9d6daf130d9ff632bf2f714f5c44845dff9e6a5082fd7b","0","20171030","1","0","0","1","100803","0","5","1","0","1","0","2","2","1","1","1","2","2","0","31","57","159","251","1","0","1","0","0","1","0","0","1","0","0","1","","","","","","","","","","","","","0","1","1","1","0","0","1","1","2","2","1","1","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","1","1","2","2","1","1","1","1","1","1","1","2","2","1","1","1","1","2","2","2","2","3","5","2","1","2","1","1","1","2","2","2","2","1","1","2","1","1","1","1","2","2","1","1","2","2","4","21","2","1","2","2","1","1","1","1","2","2","2","2","1","1","2","2","2","1","2","2","1","1","2","1","2","1","2","2","1","1","1","1","2","2","2","1","2","2","2","1","2","2","2","2","1","1","2","1","2","2","2","2","2","1","1","1","1","2","1","2","1","2","2","0","0","0","1","60","300","302","421","789","30","109","111","130","133","302","341","379","129","301","203","202","203","100","202"
"2f9d65096a2a6590b7fceb30b4ef550aa3d706e604380d8a5e69b85e88c5fc39","0","20171104","0","1","0","0","100807","1","5","1","1","1","0","1","2","2","1","1","2","2","0","1","1","0","0","1","0","0","0","0","1","1","0","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","1","2","26","4","3","4","3","15","15","19","15","20","6","6","6","6","20","33","1022.6","2029.4","2750.6","1023.6","1041.1","3","3","2","2","3","1","1","2","1","1","1","3","7","12","19","3","4","16","25","41","4","4","15","20","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","1","1","1","1","2","1","1","1","20","1","1","1","1","2","1","2","2","1","1","2","2","1","2","1","2","2","2","2","1","1","2","1","1","2","2","2","1","2","2","3","1","1","2","1","1","2","1","1","1","2","2","1","2","2","2","1","1","2","4","3","4","3","16","20","39","2","2","2","1","4","4","4","4","1","1","1","2","2","1","1","1","1","2","1","2","2","1","1","2","1","2","1","1","2","1","1","1","2","3","3","4","4","4","2","1","2","2","2","2","1","1","2","2","2","1","2","2","2","2","2","1","2","2","2","2","1","1","2","0","0","0","0","2","1","2","2","2","1","2","1","1","2","2","4","8","1","1","1","2","2","2","1"
"50310c53c3c534d2020e20b938fa6726c00696fbd63a0ae46053cc76ea7b5c29","0","20170914","2","1","2","0","","1","3","1","1","2","1","1","1","1","1","0","2","2","1","0","0","1","0","2","1","1","2","1","1","0","1","1","1","0","1","","","","","","","","","","","","","0","0","0","0","0","0","1","1","5","7","7","1","1","4","6","6","1","1","1","1","2","2","2","2","11","18","11","18","2","2","2","2","13","19","9.6","522","655.6","9.6","164.9","2","1","3","4","4","2","1","2","1","2","1","3","7","9","10","2","4","5","7","7","1","5","12","18","1","2","2","2","1","1","2","1","2","1","2","2","2","1","2","1","1","1","2","1","1","2","1","1","2","2","1","2","1","1","2","1","1","1","2","1","2","1","2","2","1","1","2","2","1","2","1","2","2","1","6","9","24","37","7","1","1","2","1","2","1","2","2","2","3","3","3","3","2","1","2","3","5","5","4","1","1","1","1","2","2","1","2","1","1","1","2","1","1","1","2","1","2","2","2","2","5","12","18","18","6","8","24","38","7","9","32","73","6","6","14","19","7","6","18","29","9","25","37","7","8","25","38","1","1","2","4","14","2","1","1","4","15","6","8","28","115","143","5","8","22","54","66","2","1","1","1","2","2","2","2","1","5","2","1","3","1","2","1","1","1","2","1","0","1","1","1","1","1","2","1","1","1","2","1","1","1","2","1","1","1","2","2","2","2","2","2"
"14a021d3d08075aec2fc266dfc9d0718e458484db26ec5233353fb55118c2e79","0","20171001","1","0","1","1","","1","4","2","1","0","0","1","1","1","1","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","217","245","245","118","1","2","1","1","2","1","2","1","1","3","3","2","3","1","1","2","2","2","3","3","1","1","2","1","1","1","2","2","2","1","1","2","1","1","2","2","1","1","2","2","2","3","4","26","34","118","218","245","244","138","266","302","301","22","24","24","25","95","135","145","145","218","245","244","113","197","250","249","21","59","169","330","572","16","40","107","190","203","78","154","302","301","301","70","127","235","236","235","2","1","2","1","2","1","1","2","1","2","2","1","1","1","1","2","2","1","1","1","0","1","0","2","","","","","","","","","","","","","","","","","","","",""
"767647b0d18f4984452dbf5197286d8f074b5963ab7adcc764f1126d4660ff7a","0","20171005","0","0","1","0","100803","0","2","2","0","2","1","2","0","2","2","0","1","2","0","0","1","0","1","0","0","1","0","0","1","1","0","4","4","5","4","","","","","","","","","","","","","4","4","5","4","0","1","3","2","3","2","2","1","1","2","1","1","1","1","6","3","2","3","3","6","6","13","6","13","3","3","3","2","9","17","64","393.8","2373.9","64","64","1","2","2","1","1","2","1","1","1","1","1","1","5","11","19","2","2","7","15","31","3","2","8","15","2","2","2","2","1","2","1","1","2","1","1","1","2","1","2","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","2","1","1","2","1","1","1","1","2","1","2","1","6","2","1","2","1","1","1","1","2","2","1","1","1","2","2","2","1","2","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","2","1","1","1","2","1","1","2","2","2","2","3","3","8","15","32","1","2","1","1","3","2","3","3","1","2","2","1","2","2","1","2","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","3","2","3","2","2","2","1","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","2","1","0","0","1","2","1","1","2","2","1","2","1","2","1","3","5","5","3","2","1","2","2","2","1"
"022b4b92c6b91cb41e7bd34c383e00041871e988f85909c82b2a8e0967dcd827","0","20171101","1","0","1","1","100807","1","4","2","1","1","0","2","1","2","2","0","1","2","1","32","58","157","258","1","0","1","0","1","0","0","1","","","","","","","","","","","","","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","1","2","1","1","1","1","2","2","2","2","2","2","2","1","2","1","2","1","1","2","2","1","1","2","1","2","1","2","2","2","1","1","2","2","2","2","2","1","1","2","3","3","2","3","4","8","1","2","1","2","2","2","2","1","2","1","1","2","2","2","1","1","1","2","2","1","2","2","1","2","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","1","2","2","1","1","1","1","1","1","1","2","1","2","2","2","1","2","1","2","2","2","1","2","0","1","1","0","48","136","302","389","853","28","53","110","128","134","302","303","310","149","284","188","188","189","94","176"
"058136f212efe3ccc0c07681edfea7a634397086bf63081141eff13c921766db","0","20171027","1","0","1","1","","1","4","0","0","1","1","2","1","0","2","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","242","243","243","164","1","2","2","1","1","2","2","1","2","3","3","3","2","1","2","1","3","2","3","2","2","1","1","1","1","2","2","2","2","1","2","2","2","2","2","1","1","1","2","1","2","3","4","5","9","164","242","242","242","199","301","301","301","26","27","26","26","98","131","131","130","242","243","242","151","242","243","243","24","137","178","352","558","20","77","97","165","169","92","302","302","302","301","82","242","242","241","242","2","1","1","2","1","2","1","2","2","2","2","1","2","2","1","1","1","1","2","1","1","1","0","1","","","","","","","","","","","","","","","","","","","",""
